,Severity,City,Qtd
1142,3,San Leandro,368
1143,3,San Lorenzo,98
1144,3,San Marcos,11
1145,3,San Martin,2
1146,3,San Mateo,19
1147,3,San Pablo,200
1148,3,San Pedro,40
1149,3,San Quentin,22
1150,3,San Rafael,33
1151,3,San Ramon,87
1152,3,San Ysidro,42
1153,3,Santa Ana,198
1154,3,Santa Barbara,5
1155,3,Santa Clara,27
1156,3,Santa Cruz,2
1157,3,Santa Fe Springs,263
1158,3,Santa Monica,135
1159,3,Santa Paula,2
1160,3,Santa Rosa,5
1161,3,Santee,1
1162,3,Saratoga,1
1163,3,Sausalito,4
1164,3,Seal Beach,154
1165,3,Seville,1
1166,3,Sherman Oaks,257
1167,3,Shingle Springs,2
1168,3,Signal Hill,21
1169,3,Soda Springs,8
1170,3,Solana Beach,25
1171,3,Soledad,2
1172,3,South El Monte,65
1173,3,South Gate,123
1174,3,South Pasadena,1
1175,3,South San Francisco,68
1176,3,Spring Valley,1
1177,3,Springfield,2
1178,3,Stevenson Ranch,14
1179,3,Stockton,265
1180,3,Strongsville,1
1181,3,Studio City,3
1182,3,Sun City,46
1183,3,Sun Valley,233
1184,3,Sunbury,1
1185,3,Sunland,48
1186,3,Sunnyvale,2
1187,3,Sunol,151
1188,3,Sylmar,387
1189,3,Tarzana,1
1190,3,Temecula,274
1191,3,Thousand Oaks,1
1192,3,Thousand Palms,33
1193,3,Tipp City,1
1194,3,Torrance,173
1195,3,Tracy,517
1196,3,Troy,1
1197,3,Tujunga,6
1198,3,Turlock,1
1199,3,Tustin,206
1200,3,Twin Peaks,1
1201,3,Union City,171
1202,3,Upland,29
1203,3,Upper Lake,1
1204,3,Vacaville,222
1205,3,Valencia,115
1206,3,Vallejo,283
1207,3,Valley Center,2
1208,3,Valley Village,1
1209,3,Valyermo,1
1210,3,Van Nuys,245
1211,3,Vandalia,1
1212,3,Ventura,4
1213,3,Victorville,35
1214,3,Vista,27
1215,3,Walnut,2
1216,3,Walnut Creek,265
1217,3,Walnut Grove,8
1218,3,Watsonville,1
1219,3,West Contra Costa,1
1220,3,West Covina,332
1221,3,West Sacramento,196
1222,3,Westerville,5
1223,3,Westlake Village,1
1224,3,Westminster,131
1225,3,Whitewater,27
1226,3,Whittier,515
1227,3,Wildomar,28
1228,3,Willows,9
1229,3,Wilmington,44
1230,3,Winchester,1
1231,3,Winters,14
1232,3,Woodland,57
1233,3,Woodland Hills,5
1234,3,Woodside,2
1235,3,Yucaipa,22
1236,3,Zamora,4
1237,3,Zanesville,1
1238,4,Burbank,1
1239,4,Calistoga,1
1240,4,Colton,1
1241,4,Columbus,1
1242,4,Crockett,1
1243,4,Culver City,1
1244,4,Danville,1
1245,4,Downey,1
1246,4,Dublin,1
1247,4,El Monte,1
1248,4,Emeryville,1
1249,4,Fairfield,1
1250,4,Hawthorne,1
1251,4,Hercules,1
1252,4,Irvine,1
1253,4,Livermore,1
1254,4,Long Beach,1
1255,4,Los Angeles,3
1256,4,Monterey Park,1
1257,4,Montrose,1
1258,4,Pacoima,1
1259,4,Royal Oaks,1
1260,4,Sacramento,1
1261,4,San Bruno,1
1262,4,San Diego,2
1263,4,San Jose,2
1264,4,San Leandro,1
1265,4,Santa Ana,1
1266,4,Sylmar,1
